CodCliente,Departamento,Municipio,Credito,Venta,Venta_Credito,Venta_Contado,Veces_Compra,SKUE,Desc,CATE,Veces_Compra_Desc,Veces_Compra_Cred,Veces_Compra_Cont, TicketProm ,%_Desc,%_Compra_Desc
400838,Carazo,DIRIAMBA,No,"1,647.16",0,"1,647.16",11,22,0.15,8,1,0,11,149.74,0.01%,9.09%
411136,Chinandega,CHINANDEGA,No,"1,635.41",0,"1,635.41",13,50,1.4,10,1,0,13,125.8,0.09%,7.69%
444089,Granada,GRANADA,No,"1,630.94",0,"1,630.94",10,9,28.02,7,1,0,10,163.09,1.72%,10.00%
404458,Chinandega,CHINANDEGA,No,"1,626.40",0,"1,626.40",12,21,0.33,8,1,0,12,135.53,0.02%,8.33%
423447,Managua,TIPITAPA,No,"1,626.00",0,"1,626.00",13,16,5.46,8,7,0,13,125.08,0.34%,53.85%
432631,León,EL SAUCE,No,"1,621.38",0,"1,621.38",13,19,0.45,7,2,0,13,124.72,0.03%,15.38%
435171,Managua,MANAGUA,No,"1,615.93",0,"1,615.93",13,36,0,9,0,0,13,124.3,0.00%,0.00%
412118,Madriz,PALACAGUINA,No,"1,600.96",0,"1,600.96",10,44,7.54,11,4,0,10,160.1,0.47%,40.00%
418070,Managua,MANAGUA,Si,"1,599.29","1,599.29",0,8,40,0,8,0,8,0,199.91,0.00%,0.00%
403283,Managua,MANAGUA,Si,"1,594.65","1,594.65",0,8,3,0,3,0,8,0,199.33,0.00%,0.00%
444532,Chontales,SANTO DOMINGO,No,"1,594.08",0,"1,594.08",7,29,0.65,10,1,0,7,227.73,0.04%,14.29%
432459,Managua,MANAGUA,No,"1,582.89",0,"1,582.89",12,4,0,4,0,0,12,131.91,0.00%,0.00%
413340,Granada,DIRIOMO,No,"1,580.56",0,"1,580.56",7,21,0.3,9,1,0,7,225.79,0.02%,14.29%
422466,Managua,MANAGUA,No,"1,571.38",0,"1,571.38",13,28,0.16,9,1,0,13,120.88,0.01%,7.69%
442036,Masaya,MASAYA,No,"1,570.35",0,"1,570.35",13,46,1,11,1,0,13,120.8,0.06%,7.69%
442065,León,LEON,No,"1,566.33",0,"1,566.33",13,34,0,11,0,0,13,120.49,0.00%,0.00%
428176,Managua,TIPITAPA,No,"1,559.60",0,"1,559.60",11,27,0,10,0,0,11,141.78,0.00%,0.00%
401819,Managua,MANAGUA,No,"1,554.86",0,"1,554.86",13,24,0,8,0,0,13,119.6,0.00%,0.00%
407772,Managua,CIUDAD SANDINO,No,"1,553.99",0,"1,553.99",12,18,0,6,0,0,12,129.5,0.00%,0.00%
434899,León,LEON,No,"1,551.76",0,"1,551.76",12,49,0,13,0,0,12,129.31,0.00%,0.00%
438087,Atlántico Sur,MUELLE DE LOS BUEYES,No,"1,544.43",0,"1,544.43",6,20,0,10,0,0,6,257.41,0.00%,0.00%
437015,Atlántico Sur,EL RAMA,No,"1,544.03",0,"1,544.03",6,17,0,7,0,0,6,257.34,0.00%,0.00%
437387,Managua,MANAGUA,Si,"1,532.82","1,532.82",0,7,6,0,4,0,7,0,218.97,0.00%,0.00%
444860,Madriz,SN JUAN DEL RIO COCO,No,"1,532.34",0,"1,532.34",3,5,0.1,4,1,0,3,510.78,0.01%,33.33%
438012,León,EL SAUCE,No,"1,530.34",0,"1,530.34",13,8,0.35,4,3,0,13,117.72,0.02%,23.08%
436302,Boaco,SAN JOSE DE LOS REMATES,No,"1,526.53",0,"1,526.53",8,37,0.48,10,1,0,8,190.82,0.03%,12.50%
404852,Jinotega,JINOTEGA,No,"1,525.61",0,"1,525.61",11,34,0.84,9,2,0,11,138.69,0.06%,18.18%
442783,Jinotega,JINOTEGA,No,"1,522.47",0,"1,522.47",12,10,0,4,0,0,12,126.87,0.00%,0.00%
443920,Managua,MANAGUA,No,"1,512.06",0,"1,512.06",12,6,0,3,0,0,12,126.01,0.00%,0.00%
415801,Managua,MANAGUA,No,"1,511.37",0,"1,511.37",13,54,0,12,0,0,13,116.26,0.00%,0.00%
405296,Nueva Segovia,OCOTAL,No,"1,499.11",0,"1,499.11",11,50,0.56,11,2,0,11,136.28,0.04%,18.18%
442938,Managua,CIUDAD SANDINO,No,"1,498.71",0,"1,498.71",13,27,0,10,0,0,13,115.29,0.00%,0.00%
409789,Managua,TIPITAPA,No,"1,493.92",0,"1,493.92",13,37,0,12,0,0,13,114.92,0.00%,0.00%
444609,Managua,MANAGUA,No,"1,492.94",0,"1,492.94",19,20,0,9,0,0,19,78.58,0.00%,0.00%
441611,Managua,MANAGUA,No,"1,492.13",0,"1,492.13",2,10,8.4,4,2,0,2,746.07,0.56%,100.00%
406376,Managua,MANAGUA,No,"1,489.21",0,"1,489.21",12,14,0,6,0,0,12,124.1,0.00%,0.00%
401721,Managua,VILLA EL CARMEN,No,"1,483.67",0,"1,483.67",13,32,0,8,0,0,13,114.13,0.00%,0.00%
417290,Managua,MANAGUA,No,"1,477.55",0,"1,477.55",13,47,0.16,9,1,0,13,113.66,0.01%,7.69%
405501,León,LEON,No,"1,475.93",0,"1,475.93",13,45,0.1,10,1,0,13,113.53,0.01%,7.69%
428384,Managua,TIPITAPA,No,"1,473.75",0,"1,473.75",11,36,3.58,9,4,0,11,133.98,0.24%,36.36%
403038,Rivas,RIVAS,No,"1,464.78",0,"1,464.78",12,7,0,4,0,0,12,122.07,0.00%,0.00%
406550,Managua,TIPITAPA,No,"1,464.42",0,"1,464.42",13,12,0,6,0,0,13,112.65,0.00%,0.00%
437046,Carazo,JINOTEPE,No,"1,462.77",0,"1,462.77",9,13,0,2,0,0,9,162.53,0.00%,0.00%
400134,Managua,VILLA EL CARMEN,No,"1,460.82",0,"1,460.82",13,37,0,9,0,0,13,112.37,0.00%,0.00%
